,data.horse.bloodline,data.horse.breed_type,data.horse.color,data.horse.gen,data.horse.horse_type,data.horse.img_url,data.horse.inserted_at,data.horse.name,data.horse.nft_id,data.horse.parents,data.horse.race_statistic.first_place_finishes,data.horse.race_statistic.free_win_rate,data.horse.race_statistic.number_of_free_races,data.horse.race_statistic.number_of_paid_races,data.horse.race_statistic.number_of_races,data.horse.race_statistic.paid_win_rate,data.horse.race_statistic.second_place_finishes,data.horse.race_statistic.third_place_finishes,data.horse.race_statistic.win_rate,data.horse.super_coat
0,Finney,elite,Desert Sand,Z15,Filly,https://img.zed.run/horses/EDC9AF.png,2022-06-29T18:19:00,Stunt Schneider,435464,"[{'name': 'Karl-Heinz Schneider', 'nft_id': 209897}, {'name': 'Stunt Driver', 'nft_id': 206124}]",7,2.83,106,22,128,18.18,12,16,5.47,False
0,Nakamoto,cross,Copper Penny,Z11,Colt,https://img.zed.run/horses/AD6F69.png,2022-06-29T18:19:31,Kendaller,435465,"[{'name': 'Mutant Baby', 'nft_id': 386707}, {'name': 'Fire Carat', 'nft_id': 346008}]",9,7.76,116,2,118,0.0,11,11,7.63,False
0,Buterin,elite,Fuzzy Wuzzy,Z26,Filly,https://img.zed.run/horses/CC6666.png,2022-06-29T18:20:19,Cassidy Hutchinson,435466,"[{'name': 'Lana Del Hay Hay', 'nft_id': 377393}, {'name': 'Flicker of Hope', 'nft_id': 150435}]",2,6.45,31,0,31,0.0,6,1,6.45,False
0,Nakamoto,legendary,Royal Blue,Z2,Colt,https://img.zed.run/horses/4169E1.png,2022-06-29T18:21:01,House Ruler,435467,"[{'name': 'Henry Jazz Winkle', 'nft_id': 430}, {'name': 'Cached Up', 'nft_id': 283}]",45,8.15,466,67,533,10.45,43,29,8.44,False
0,Buterin,exclusive,Black Chocolate,Z24,Mare,https://img.zed.run/horses/1B1811.png,2021-12-24T16:23:56,Fondue Friday,173324,"[{'name': 'Ghost Beef', 'nft_id': 148686}, {'name': 'Kristaps Porzingis', 'nft_id': 94518}]",4,11.43,35,0,35,0.0,1,2,11.43,False
0,Buterin,legendary,Byzantine,Z17,Colt,https://img.zed.run/horses/BD33A4.png,2022-06-29T18:47:48,Robotic Rhythm,435469,"[{'name': 'A Robotic Operated Thing', 'nft_id': 47292}, {'name': 'Final Rhythm', 'nft_id': 22980}]",11,7.48,147,5,152,0.0,10,9,7.24,False
0,Buterin,genesis,Byzantine,Z9,Stallion,https://img.zed.run/horses/BD33A4.png,2021-07-09T16:14:39,Private Opulence,42252,[],3,5.88,51,8,59,0.0,5,6,5.08,False
0,Nakamoto,exclusive,Dark Byzantium,Z6,Mare,https://img.zed.run/horses/5D3954.png,2022-06-29T19:28:10,Spiritually,435472,"[{'name': 'Silver Spirit', 'nft_id': 167887}, {'name': 'Military Moon', 'nft_id': 40445}]",24,11.16,215,48,263,0.0,28,39,9.13,False
0,Nakamoto,elite,Battle Horse Gray,Z15,Mare,https://img.zed.run/horses/848482.png,2022-06-29T19:28:12,Intent Edge,435473,"[{'name': 'Lost Intent', 'nft_id': 408830}, {'name': 'Edge of Dawn', 'nft_id': 381272}]",11,14.04,57,31,88,9.68,11,8,12.5,False
0,Nakamoto,elite,Space Sparkle,Z10,Stallion,https://img.zed.run/horses/4A646C.png,2022-06-29T19:30:32,Space Trickle,435474,"[{'name': 'Space Rangers', 'nft_id': 414940}, {'name': 'Richard Trickle', 'nft_id': 159796}]",36,13.74,182,93,275,11.83,25,18,13.09,False
0,Buterin,genesis,Powder Blue,Z9,Mare,https://img.zed.run/horses/B0E0E6.png,2021-07-09T16:14:40,Moveable Fingers,42258,[],11,3.97,252,29,281,3.45,14,27,3.91,False
