,horse_id,time_sold,price
70574,410981,464452,0.005
70575,506631,464452,0.025
70576,45689,464453,0.08
70577,384076,464453,0.0135
70578,476714,464453,0.005
70579,515394,464453,0.006644
70580,428605,464453,0.0012222
70581,468047,464453,0.001
70582,174218,464453,0.24
70583,340004,464453,0.0119
70584,152600,464453,0.0077
70585,436986,464453,0.01207
70586,491890,464453,0.0375
70587,402339,464453,0.0035
70588,477876,464453,0.00284
70589,424644,464454,0.025
70590,20953,464454,0.1
70591,512525,464454,0.00122
70592,488334,464454,0.002
70593,501882,464454,0.91
70594,9750,464454,0.25
70595,358309,464455,0.0125
70596,169817,464455,0.02
70597,179639,464455,0.02
70598,510032,464455,0.045
70599,492733,464455,0.015
70600,499817,464455,0.025
70601,443711,464455,0.015
70602,493090,464455,0.006
70603,128657,464455,0.001
70604,140581,464455,0.001
70605,169456,464455,0.001
70606,194878,464455,0.001
70607,423183,464455,0.001
70608,472622,464455,0.035
70609,401786,464455,0.005999
70610,150024,464456,0.0099
70611,515285,464456,0.0249
70612,509535,464456,0.01
70613,506250,464456,0.001
70614,513460,464456,0.001
70615,512515,464456,0.001
70616,505302,464456,0.02
70617,515873,464456,0.05
70618,26756,464456,0.45
70619,502981,464456,0.006233
70620,463966,464456,0.015
70621,424805,464456,0.002
70622,1803,464457,0.3
70623,427585,464457,0.006507
70624,488558,464457,0.003
70625,436613,464458,0.005
70626,393141,464458,0.03
70627,12192,464458,1.9
70628,193841,464458,0.05
70629,501822,464458,0.008
70630,496016,464458,0.0425
70631,157799,464459,0.019
70632,368926,464459,450.0
70633,512783,464459,0.0199
70634,452384,464459,0.003
70635,481118,464459,0.0045
70636,488289,464460,370.0
70637,515112,464460,0.025
70638,506928,464460,0.011733
70639,514904,464460,0.095
70640,516328,464460,0.0025
70641,43130,464460,0.065
70642,423411,464460,0.03
70643,425701,464460,0.009
70644,408147,464460,0.03
70645,45645,464461,0.11
70646,515265,464461,0.05
70647,407886,464461,0.03
70648,434064,464461,0.05
70649,487062,464461,0.0012
70650,411027,464461,0.009
70651,514694,464461,0.02
70652,502953,464461,0.006
70653,436114,464462,0.0042
70654,440122,464462,0.023
70655,104241,464462,0.004
70656,455776,464462,0.01
70657,420900,464462,0.048
70658,469219,464462,0.0065
70659,179307,464463,0.006498
70660,128942,464463,0.025
70661,516316,464464,0.02
70662,28017,464464,0.08
70663,422025,464464,0.2
70664,514689,464464,0.018
70665,469908,464465,0.01
70666,495538,464465,0.002
70667,177114,464465,0.00139
70668,496088,464465,0.1215
70669,392982,464465,0.05
70670,439663,464465,0.02
70671,516038,464465,0.0055
70672,487373,464465,0.005
70673,431572,464465,0.002
70674,500240,464466,0.002
70675,484706,464466,0.199
70676,513369,464466,0.03
70677,68326,464466,0.02
70678,483582,464466,0.017
70679,509813,464466,0.01
70680,484079,464466,0.012
70681,509252,464466,0.015
70682,504565,464466,0.005
70683,511271,464467,0.008
70684,517022,464467,0.004
70685,501010,464467,0.0012
70686,484756,464467,0.99
70687,500956,464467,0.018
70688,458434,464468,0.015
70689,484057,464468,0.04
70690,487007,464468,0.03
70691,429541,464469,0.05
70692,504296,464469,0.01
70693,417977,464469,0.01
70694,130060,464469,0.012
70695,394477,464469,0.015
70696,376579,464469,0.03
70697,414165,464469,0.039
