,data.horse.bloodline,data.horse.breed_type,data.horse.color,data.horse.gen,data.horse.horse_type,data.horse.img_url,data.horse.inserted_at,data.horse.name,data.horse.nft_id,data.horse.parents,data.horse.race_statistic.first_place_finishes,data.horse.race_statistic.free_win_rate,data.horse.race_statistic.number_of_free_races,data.horse.race_statistic.number_of_paid_races,data.horse.race_statistic.number_of_races,data.horse.race_statistic.paid_win_rate,data.horse.race_statistic.second_place_finishes,data.horse.race_statistic.third_place_finishes,data.horse.race_statistic.win_rate,data.horse.super_coat
0,Buterin,exclusive,Cosmic Latte,Z10,Stallion,https://img.zed.run/horses/FFF8E7.png,2022-07-01T22:18:58,Fascist,436599,"[{'name': 'Madam Sunlight', 'nft_id': 64768}, {'name': 'Rise To The Top', 'nft_id': 14786}]",9,8.49,106,0,106,0.0,10,6,8.49,False
0,Nakamoto,legendary,Azure Mist,Z4,Filly,https://img.zed.run/horses/F0FFFF.png,2022-07-01T22:19:04,So So Sorry,436600,"[{'name': 'Splendid Storm', 'nft_id': 621}, {'name': 'Gylden', 'nft_id': 554}]",8,13.04,46,35,81,5.71,10,7,9.88,False
0,Nakamoto,legendary,Alabaster,Z4,Filly,https://img.zed.run/horses/F2F0E6.png,2022-07-01T22:19:19,Diamond Weapon,436601,"[{'name': 'Gylden', 'nft_id': 554}, {'name': 'Twinkle', 'nft_id': 527}]",16,7.83,166,60,226,5.0,15,28,7.08,False
0,Buterin,genesis,Burlywood,Z9,Mare,https://img.zed.run/horses/DEB887.png,2021-07-09T20:45:16,Desert Ace,43388,[],7,17.95,39,24,63,0.0,8,5,11.11,False
0,Buterin,exclusive,Suave Mauve,Z12,Colt,https://img.zed.run/horses/D473D4.png,2022-07-01T22:22:13,Unnamed Foal,436605,"[{'name': 'Rachel Weisz', 'nft_id': 85725}, {'name': 'Enter Sandman', 'nft_id': 20721}]",0,0.0,0,0,0,0.0,0,0,0.0,False
0,Buterin,genesis,Alizarin Crimson,Z9,Mare,https://img.zed.run/horses/E32636.png,2021-07-09T20:45:20,Tumultuous,43389,[],4,6.78,59,4,63,0.0,3,5,6.35,False
0,Nakamoto,elite,Champagne Papi,Z5,Filly,https://img.zed.run/horses/F1DDCF.png,2022-07-01T22:36:12,Alien Tea,436607,"[{'name': 'Takai', 'nft_id': 382952}, {'name': 'Alien Queen', 'nft_id': 33817}]",1,2.5,40,0,40,0.0,5,7,2.5,False
0,Buterin,exclusive,Anti-Flash White,Z15,Stallion,https://img.zed.run/horses/F2F3F4.png,2021-12-25T23:00:26,Honestly Insane,174466,"[{'name': ""D'ou Tu Sors Cet AS"", 'nft_id': 96570}, {'name': 'Good Standing', 'nft_id': 43890}]",39,13.62,279,96,375,1.04,19,22,10.4,False
0,Finney,legendary,Antique Brass,Z10,Mare,https://img.zed.run/horses/CD9575.png,2021-12-25T23:00:36,Tullamore,174467,"[{'name': 'Jump To Conclusion', 'nft_id': 3020}, {'name': 'Oil Patched', 'nft_id': 1493}]",34,11.0,300,11,311,9.09,37,29,10.93,False
0,Buterin,elite,Fiery Rose,Z21,Stallion,https://img.zed.run/horses/FF5470.png,2022-07-01T22:54:09,Ohhh Duck Me,436612,"[{'name': ""Doofy's Army 1"", 'nft_id': 64663}, {'name': 'Horsie McHorse Face', 'nft_id': 37309}]",10,10.0,100,1,101,0.0,9,7,9.9,False
0,Buterin,exclusive,Cinnamon Satin,Z37,Mare,https://img.zed.run/horses/CD607E.png,2022-07-01T22:59:08,Missed Rendezvous,436613,"[{'name': 'Tone Deaf', 'nft_id': 411800}, {'name': 'Aphro Diety', 'nft_id': 383819}]",14,7.65,170,25,195,4.0,24,25,7.18,False
0,Nakamoto,elite,Battle Horse Gray,Z5,Filly,https://img.zed.run/horses/848482.png,2022-07-01T23:00:23,Fetti,436614,"[{'name': 'Teddy', 'nft_id': 35908}, {'name': 'Longface', 'nft_id': 17076}]",6,6.02,83,4,87,25.0,6,3,6.9,False
0,Buterin,elite,Café Au Lait,Z35,Filly,https://img.zed.run/horses/A67B5B.png,2022-07-01T23:15:20,Thundering Tone,436615,"[{'name': 'Maloo', 'nft_id': 414191}, {'name': 'Tone Deaf', 'nft_id': 411800}]",0,0.0,14,2,16,0.0,3,0,0.0,False
0,Finney,legendary,Mystic Maroon,Z6,Stallion,https://img.zed.run/horses/B03060.png,2021-12-25T23:04:23,Alphaphobia,174471,"[{'name': 'Happy Smile', 'nft_id': 23881}, {'name': 'Royal Rose', 'nft_id': 288}]",104,13.31,526,447,973,7.61,73,76,10.69,False
0,Buterin,genesis,Aggressive Azure,Z9,Mare,https://img.zed.run/horses/027DFF.png,2021-07-09T20:46:00,Liberty Tree,43398,[],76,25.2,254,113,367,10.62,29,15,20.71,False
0,Finney,exclusive,Fawn,Z11,Stallion,https://img.zed.run/horses/E5AA70.png,2022-07-01T23:23:01,Faster Than Fast,436623,"[{'name': 'Beating Records', 'nft_id': 392757}, {'name': 'Precisely', 'nft_id': 20192}]",31,12.05,249,2,251,50.0,31,23,12.35,False
0,Szabo,legendary,Misty Rose,Z7,Mare,https://img.zed.run/horses/FFE4E1.png,2021-12-25T23:10:55,Rosy Misty,174480,"[{'name': 'Chilling Prospects', 'nft_id': 1532}, {'name': 'Yee Haa Cowboy', 'nft_id': 1351}]",7,5.11,137,7,144,0.0,4,9,4.86,False
0,Buterin,pacer,Bittersweet Shimmer,Z268,Stallion,https://img.zed.run/horses/BF4F51.png,2022-07-01T23:33:34,Makes Great Babies,436629,"[{'name': 'Smooth Chocolate', 'nft_id': 375396}, {'name': 'Blemheim', 'nft_id': 199937}]",0,0.0,5,0,5,0.0,0,0,0.0,False
0,Buterin,exclusive,Electric Violet,Z14,Stallion,https://img.zed.run/horses/8F00FF.png,2021-12-25T23:12:17,God's Good Grace,174485,"[{'name': 'Godly', 'nft_id': 120837}, {'name': 'Good Standing', 'nft_id': 43890}]",14,8.92,157,18,175,0.0,15,18,8.0,False
0,Szabo,exclusive,Caribbean Green,Z12,Mare,https://img.zed.run/horses/00CC99.png,2022-07-01T23:46:55,Money Baggs,436632,"[{'name': 'MI 45', 'nft_id': 410665}, {'name': 'Call It A Day', 'nft_id': 10733}]",15,9.93,151,26,177,0.0,29,21,8.47,False
0,Buterin,elite,Dark Moss,Z20,Colt,https://img.zed.run/horses/4A5D23.png,2022-07-02T00:02:40,Dubious Distinction,436637,"[{'name': 'Hypnotoad', 'nft_id': 421320}, {'name': 'Wee Lassie', 'nft_id': 4106}]",0,0.0,14,0,14,0.0,2,1,0.0,False
0,Nakamoto,elite,Bittersweet Shimmer,Z11,Mare,https://img.zed.run/horses/BF4F51.png,2022-07-02T00:09:01,Breathless Legacy,436638,"[{'name': 'Stolen Gameboys', 'nft_id': 350196}, {'name': 'Dayger', 'nft_id': 131748}]",10,12.31,65,70,135,2.86,15,6,7.41,False
0,Buterin,elite,Firebrick,Z24,Stallion,https://img.zed.run/horses/B22222.png,2022-07-02T00:09:51,Kevin Nyx,436640,"[{'name': 'Kevin McCallister', 'nft_id': 52918}, {'name': 'Nyx', 'nft_id': 31405}]",15,12.5,120,1,121,0.0,10,7,12.4,False
0,Buterin,exclusive,Alizarin Crimson,Z18,Mare,https://img.zed.run/horses/E32636.png,2021-12-25T23:31:58,VinFast,174505,"[{'name': 'Gulfstream', 'nft_id': 92594}, {'name': 'Go One More', 'nft_id': 40622}]",23,20.91,110,10,120,0.0,5,10,19.17,False
0,Buterin,cross,Midnight Black,Z50,Stallion,https://img.zed.run/horses/000000.png,2022-07-02T00:45:47,Midnight Ice,436652,"[{'name': 'Royal Swing', 'nft_id': 368088}, {'name': 'Dark Ice', 'nft_id': 177131}]",4,8.16,49,1,50,0.0,2,1,8.0,False
0,Buterin,genesis,Peach Puff,Z9,Filly,https://img.zed.run/horses/FFDAB9.png,2021-07-09T20:48:15,Pachamama,43436,[],0,0.0,0,0,0,0.0,0,0,0.0,False
