,data.horse.bloodline,data.horse.breed_type,data.horse.breeding_counter,data.horse.color,data.horse.gen,data.horse.horse_type,data.horse.img_url,data.horse.inserted_at,data.horse.last_breeding_reset,data.horse.name,data.horse.nft_id,data.horse.race_statistic.first_place_finishes,data.horse.race_statistic.number_of_races,data.horse.race_statistic.second_place_finishes,data.horse.race_statistic.third_place_finishes,data.horse.race_statistic.win_rate
0,Nakamoto,legendary,1,Absolute Zero,Z4,Mare,https://img.zed.run/horses/0048BA.png,2021-10-18T08:29:47,2023-01-09T08:24:54Z,Calobra,131537,6,102,10,12,5.88
0,Finney,legendary,3,Cosmic Latte,Z10,Stallion,https://img.zed.run/horses/FFF8E7.png,2022-04-16T02:55:19,2022-12-24T02:50:48Z,Gyorai,393698,59,528,63,43,11.17
0,Nakamoto,genesis,1,Electric Violet,Z2,Mare,https://img.zed.run/horses/8F00FF.png,2019-03-15T12:08:04,2023-01-13T12:08:00Z,Hitter Hike,501,11,220,16,22,5.0
0,Finney,elite,3,Black Chocolate,Z16,Colt,https://img.zed.run/horses/1B1811.png,2022-04-16T04:13:04,2022-12-24T04:08:33Z,BELTER,393736,10,188,20,30,5.32
0,Szabo,elite,3,Eminence,Z11,Colt,https://img.zed.run/horses/6C3082.png,2022-04-16T04:45:07,2022-12-24T04:40:39Z,Pierce Heaven,393747,5,120,12,10,4.17
0,Finney,elite,3,Destiny,Z17,Colt,https://img.zed.run/horses/872657.png,2022-04-16T04:46:35,2022-12-24T04:42:07Z,Lil Kawhi,393748,14,253,25,27,5.53
0,Szabo,elite,1,Mystic Maroon,Z15,Mare,https://img.zed.run/horses/B03060.png,2022-04-16T04:47:46,2022-12-24T04:43:17Z,Conga Rats,393749,31,259,17,24,11.97
0,Buterin,exclusive,3,Cinnamon Satin,Z23,Colt,https://img.zed.run/horses/CD607E.png,2022-04-16T05:11:37,2022-12-24T05:05:08Z,Naughty Gin,393755,12,218,24,20,5.5
0,Nakamoto,genesis,1,Papaya Whip,Z2,Mare,https://img.zed.run/horses/FFEFD5.png,2019-03-17T19:45:28,2023-01-15T19:45:20Z,Fraudulent Behavior,547,19,121,19,12,15.7
0,Finney,legendary,3,Burnt Sienna,Z10,Colt,https://img.zed.run/horses/E97451.png,2022-04-16T05:50:07,2022-12-24T05:43:46Z,More Than Music,393763,4,40,3,3,10.0
0,Nakamoto,legendary,3,Antique Brass,Z2,Stallion,https://img.zed.run/horses/CD9575.png,2021-10-18T16:03:42,2023-01-09T15:59:11Z,Choose Life,131624,29,582,47,51,4.98
0,Buterin,exclusive,1,Cyclamen,Z21,Mare,https://img.zed.run/horses/F56FA1.png,2021-10-18T16:12:08,2023-01-09T16:07:39Z,Princess Pink Panda,131627,1,14,0,1,7.14
0,Nakamoto,genesis,1,Cinereous,Z2,Mare,https://img.zed.run/horses/98817B.png,2019-03-19T20:15:45,2022-12-20T20:15:39Z,Split Second,632,20,205,18,33,9.76
0,Nakamoto,genesis,1,Brown Sugar,Z2,Mare,https://img.zed.run/horses/AF6E4D.png,2019-03-20T11:33:42,2022-12-21T11:32:57Z,The Information Age,644,12,279,25,31,4.3
0,Nakamoto,exclusive,1,Battle Horse Gray,Z5,Mare,https://img.zed.run/horses/848482.png,2021-10-18T22:43:31,2023-01-09T22:39:00Z,Christian Gray,131738,5,160,20,21,3.13
0,Nakamoto,genesis,0,Thistle,Z2,Mare,https://img.zed.run/horses/D8BFD8.png,2019-03-22T04:55:23,2022-12-23T04:55:12Z,Guardian,668,88,589,68,58,14.94
0,Nakamoto,exclusive,3,Misty Rose,Z7,Stallion,https://img.zed.run/horses/FFE4E1.png,2021-10-18T22:54:26,2023-01-09T22:49:54Z,Ripsnorter,131749,17,309,33,30,5.5
0,Finney,exclusive,3,Burnt Umber,Z16,Stallion,https://img.zed.run/horses/8A3324.png,2021-10-18T23:28:47,2023-01-09T23:24:00Z,Walk In The Park,131767,22,204,21,22,10.78
0,Finney,elite,1,Powder Blue,Z22,Mare,https://img.zed.run/horses/B0E0E6.png,2021-10-18T23:55:26,2023-01-09T23:50:50Z,Powder Chowder,131778,70,695,74,62,10.07
